category,name_th,name_en,description
space-exploration,การสำรวจอวกาศ,Space Exploration,การสำรวจอวกาศเป็นเรื่องท้าทาย...
phenomena,ปรากฏการณ์,phenomena,ปรากฏการณ์ทางดาราศาสตร์เป็นเรื่องที่...
